Gemeinde,Kanton,Einwohner,Fläche
Pont-en-Ogoz,FR,1951,10.13
Pont-la-Ville,FR,609,4.36
Ponte Capriasca,TI,1871,6.21
Ponthaux,FR,779,5.93
Pontresina,GR,2178,118.21
Porrentruy,JU,6434,14.79
Port,BE,3801,2.43
Port-Valais,VS,4283,14.37
Porza,TI,1547,1.54
Poschiavo,GR,3441,190.97
Prangins,VD,4099,6.05
Prato (Leventina),TI,388,16.82
Pratteln,BL,16606,10.74
Pregny-Chambésy,GE,3803,3.25
Premier,VD,218,6.05
Presinge,GE,696,4.72
Préverenges,VD,5242,1.85
Prévondavaux,FR,83,1.83
Prévonloup,VD,202,1.81
Prez,FR,2345,16.05
Prilly,VD,12360,2.19
Provence,VD,392,31.88
Puidoux,VD,2888,22.80
Pully,VD,18694,5.94
Puplinge,GE,2488,2.65
Pura,TI,1346,3.09
Quarten,SG,2988,61.69
Quinto,TI,995,75.28
Radelfingen,BE,1272,14.71
Rafz,ZH,4628,10.71
Rain,LU,2940,9.44
Ramlinsburg,BL,721,2.26
Ramsen,SH,1465,13.45
Rances,VD,513,9.88
Randa,VS,425,54.44
Raperswilen,TG,416,7.72
Rapperswil (BE),BE,2592,22.55
Rapperswil-Jona,SG,27483,22.15
Raron,VS,1949,30.27
Realp,UR,142,77.81
Rebévelier,BE,41,3.55
Rebstein,SG,4640,4.35
Recherswil,SO,2028,3.34
Rechthalten,FR,1106,7.29
Reconvilier,BE,2380,8.24
Regensberg,ZH,459,2.39
Regensdorf,ZH,18568,14.60
Rehetobel,AR,1726,6.71
Reichenbach im Kandertal,BE,3638,125.78
Reichenburg,SZ,3891,11.54
Reiden,LU,7255,27.00
Reigoldswil,BL,1585,9.18
Reinach (AG),AG,8874,9.55
Reinach (BL),BL,19159,6.93
Reisiswil,BE,173,1.97
Reitnau,AG,1519,7.98
Remaufens,FR,1212,5.90
Remetschwil,AG,2023,3.85
Remigen,AG,1326,7.89
Renan (BE),BE,934,12.64
Renens (VD),VD,20834,2.95
Rennaz,VD,892,2.18
Reute (AR),AR,690,4.95
Reutigen,BE,1023,11.28
Rhäzüns,GR,1611,13.28
Rheinau,ZH,1287,8.93
Rheineck,SG,3404,2.22
Rheinfelden,AG,13551,16.05
Rheinwald,GR,574,136.82
Riaz,FR,2815,7.78
Richterswil,ZH,13670,7.53
Rickenbach (BL),BL,608,2.92
Rickenbach (LU),LU,3458,11.78
Rickenbach (SO),SO,1055,2.76
Rickenbach (TG),TG,2826,1.59
Rickenbach (ZH),ZH,2796,6.05
Riddes,VS,3277,23.89
Ried bei Kerzers,FR,1229,7.54
Ried-Brig,VS,2141,47.61
Riederalp,VS,438,19.04
Riedholz,SO,2316,7.17
Riehen,BS,21705,10.89
Riemenstalden,SZ,86,11.21
Rifferswil,ZH,1148,6.58
Riggisberg,BE,3034,34.50
Ringgenberg (BE),BE,2588,8.74
Riniken,AG,1482,4.76
Risch,ZG,11212,14.82
Riva San Vitale,TI,2626,6.08
Rivaz,VD,337,0.31
Riviera,TI,4252,86.57
Roche (VD),VD,1867,6.42
Rochefort,NE,1291,25.79
Roches (BE),BE,190,9.03
Rodersdorf,SO,1375,5.32
Roggenburg,BL,269,6.68
Roggliswil,LU,723,6.22
Roggwil (BE),BE,4176,7.84
Roggwil (TG),TG,3257,11.93
Rohrbach,BE,1520,4.08
Rohrbachgraben,BE,390,6.46
Rolle,VD,6260,2.72
Romainmôtier-Envy,VD,526,6.99
Romanel-sur-Lausanne,VD,3240,2.92
Romanel-sur-Morges,VD,467,1.71
Romanshorn,TG,11327,8.69
Römerswil,LU,1810,16.68
Romont (BE),BE,202,6.94
Romont (FR),FR,5417,10.88
Romoos,LU,656,37.35
Ronco sopra Ascona,TI,550,4.99
Rongellen,GR,56,2.04
Root,LU,5335,8.65
Ropraz,VD,529,4.77
Rorbas,ZH,2885,4.50
Rorschach,SG,9646,1.77
Rorschacherberg,SG,7465,7.12
Röschenz,BL,1898,10.02
Rossa,GR,151,58.93
Rossemaison,JU,687,1.93
Rossenges,VD,84,1.06
Rossinière,VD,534,23.35
Röthenbach im Emmental,BE,1169,36.80
Rothenbrunnen,GR,304,3.10
Rothenburg,LU,7715,15.49
Rothenfluh,BL,783,10.91
Rothenthurm,SZ,2484,22.76
Rothrist,AG,9290,11.82
Rottenschwil,AG,911,4.46
Rougemont,VD,864,48.54
Roveredo (GR),GR,2597,38.77
Rovray,VD,202,3.23
Rubigen,BE,2892,6.94
Rüderswil,BE,2373,17.19
Rüdlingen,SH,803,5.53
Rudolfstetten-Friedlisberg,AG,4546,4.88
Rüdtligen-Alchenflüh,BE,2444,2.71
Rue,FR,1537,11.27
Rüeggisberg,BE,1765,35.75
Rüegsau,BE,3265,15.03
Rueyres,VD,266,1.99
Rüfenach,AG,863,4.18
Rumendingen,BE,81,2.48
Rumisberg,BE,491,5.13
Rümlang,ZH,8277,12.42
Rümlingen,BL,434,2.28
Rünenberg,BL,761,4.96
Rupperswil,AG,5618,6.16
Rüschegg,BE,1697,57.30
Rüschlikon,ZH,6113,2.93
Russikon,ZH,4410,14.27
Russin,GE,530,4.93
Ruswil,LU,7041,45.30
Rüthi (SG),SG,2445,9.32
Rüti (ZH),ZH,12494,10.09
Rüti bei Büren,BE,867,6.50
Rüti bei Lyssach,BE,172,1.33
Rütschelen,BE,564,4.01
Rüttenen,SO,1483,8.79
S-chanf,GR,697,138.02
Saanen,BE,6836,120.07
Saas-Almagell,VS,364,110.52
Saas-Balen,VS,351,30.29
Saas-Fee,VS,1559,40.33
Saas-Grund,VS,990,24.79
Sachseln,OW,5145,53.86
Safenwil,AG,4107,6.03
Safiental,GR,937,151.42
Safnern,BE,1951,5.64
Sagogn,GR,736,6.95
Saicourt,BE,645,13.80
Saignelégier,JU,2615,31.76
Saillon,VS,2818,13.68
Saint-Aubin (FR),FR,1886,7.91
Saint-Barthélemy (VD),VD,783,4.14
Saint-Blaise,NE,3258,8.87
Saint-Brais,JU,227,15.14
Saint-Cergue,VD,2674,24.26
Saint-George,VD,1073,12.32
Saint-Gingolph,VS,964,14.46
Saint-Imier,BE,5156,20.80
Saint-Léonard,VS,2460,3.88
Saint-Livres,VD,684,8.11
Saint-Martin (FR),FR,1026,9.76
Saint-Martin (VS),VS,842,36.94
Saint-Maurice,VS,4518,14.89
Saint-Oyens,VD,460,3.04
Saint-Prex,VD,5855,5.49
Saint-Saphorin (Lavaux),VD,389,0.89
Saint-Sulpice (VD),VD,4914,1.82
Sainte-Croix,VD,4933,39.36
Salenstein,TG,1411,6.49
Sâles,FR,1452,18.81
Salgesch,VS,1567,11.40
Salmsach,TG,1481,2.64
Salvan,VS,1442,53.40
Samedan,GR,2923,113.96
Samnaun,GR,784,56.15
San Vittore,GR,864,22.03
Sant'Antonino,TI,2542,6.56
Santa Maria in Calanca,GR,115,9.32
Sargans,SG,6213,9.46
Sarmenstorf,AG,2913,8.27
Sarnen,OW,10514,73.15
Satigny,GE,4286,18.91
Sattel,SZ,1925,17.35
Saubraz,VD,423,3.69
Sauge,BE,827,13.46
Saulcy,JU,255,7.92
Saules (BE),BE,147,4.26
Savièse,VS,7937,70.99
Savigny,VD,3349,16.10
Savosa,TI,2219,0.75
Saxeten,BE,92,19.42
Saxon,VS,6278,23.22
Schaffhausen,SH,36952,41.94
Schafisheim,AG,3044,6.34
Schangnau,BE,918,36.52
Schänis,SG,3923,39.88
Scharans,GR,796,14.29
Schattdorf,UR,5408,16.29
Schattenhalb,BE,552,31.55
Schelten,BE,39,5.54
Schenkon,LU,3040,6.77
Scheuren,BE,475,2.10
Schiers,GR,2727,61.72
Schinznach,AG,2319,12.23
Schlatt (TG),TG,1814,15.51
Schlatt (ZH),ZH,779,9.04
Schlatt-Haslen,AI,1126,17.89
Schleinikon,ZH,858,5.66
Schleitheim,SH,1668,21.53
Schlierbach,LU,925,7.22
Schlieren,ZH,19881,6.54
Schlossrued,AG,822,7.27
Schluein,GR,611,4.81
Schmerikon,SG,3971,4.09
Schmiedrued,AG,1160,8.60
Schmitten (FR),FR,4166,13.50
Schmitten (GR),GR,222,11.32
Schneisingen,AG,1491,8.30
Schnottwil,SO,1135,7.16
Schöfflisdorf,ZH,1394,3.95
Schöftland,AG,4468,6.21
Schönenbuch,BL,1433,1.33
Schönengrund,AR,528,5.20
Schönenwerd,SO,5057,3.74
Schongau,LU,1046,12.43
Schönholzerswilen,TG,839,10.96
Schötz,LU,4575,15.32
Schübelbach,SZ,9289,29.04
Schupfart,AG,803,7.03
Schüpfen,BE,3792,19.87
Schüpfheim,LU,4237,38.41
Schwaderloch,AG,689,2.79
Schwadernau,BE,692,4.09
Schwanden bei Brienz,BE,625,7.03
Schwarzenberg,LU,1738,39.26
Schwarzenburg,BE,6812,44.82
Schwarzhäusern,BE,533,3.77
Schwellbrunn,AR,1550,17.40
Schwende-Rüte,AI,6006,98.33
Schwerzenbach,ZH,5193,2.64
Schwyz,SZ,15435,53.09
Scuol,GR,4624,438.76
Seeberg,BE,1559,16.85
Seedorf (BE),BE,3134,20.88
Seedorf (UR),UR,2045,19.28
Seegräben,ZH,1427,3.78
Seehof,BE,56,8.41
Seelisberg,UR,688,13.18
Seengen,AG,4122,9.62
Seewen,SO,1022,16.39
Seewis im Prättigau,GR,1376,49.60
Seftigen,BE,2147,3.92
Seltisberg,BL,1307,3.54
Selzach,SO,3491,19.46
Sembrancher,VS,1050,17.72
Sempach,LU,4234,8.94
Semsales,FR,1426,29.39
Senarclens,VD,492,3.95
Sennwald,SG,5709,41.55
Seon,AG,5198,9.64
Sergey,VD,145,1.48
Serravalle,TI,2079,96.77
Servion,VD,2078,6.27
Seuzach,ZH,7420,7.60
Sévaz,FR,318,2.48
Sevelen,SG,5128,30.30
Siblingen,SH,874,9.37
Sierre,VS,16819,19.15
Siglistorf,AG,669,5.55
Signau,BE,2594,22.15
Signy-Avenex,VD,585,1.93
Sigriswil,BE,4847,55.34
Silenen,UR,1951,144.75
Sils im Domleschg,GR,971,9.30
Sils im Engadin/Segl,GR,715,63.55
Silvaplana,GR,1121,44.74
Simplon,VS,292,91.11
Sins,AG,4299,20.27
Sion,VS,34978,34.76
Sirnach,TG,7901,12.39
Siselen,BE,612,5.52
Sisikon,UR,383,16.44
Sissach,BL,6706,8.93
Sisseln,AG,1661,2.58
Siviriez,FR,2346,20.28
Soazza,GR,324,46.37
Solothurn,SO,16802,6.25
Sommeri,TG,630,4.21
Sonceboz-Sombeval,BE,1954,14.95
Sonvilier,BE,1223,23.80
Soral,GE,976,2.93
Sorengo,TI,1863,0.85
Sorens,FR,1105,8.73
Sorvilier,BE,283,6.89
Soubey,JU,131,13.50
Soyhières,JU,436,7.53
Speicher,AR,4434,8.20
Spiez,BE,12926,16.73
Spiringen,UR,842,64.76
Spreitenbach,AG,12126,8.62
St. Gallen,SG,76213,39.33
St. Margrethen,SG,5991,6.85
St. Moritz,GR,4945,28.69
St. Niklaus,VS,2224,89.30
St. Silvester,FR,952,7.02
St. Stephan,BE,1310,60.86
St. Ursen,FR,1365,15.68
Stabio,TI,4491,6.16
Stadel,ZH,2336,12.88
Stäfa,ZH,14791,8.61
Staffelbach,AG,1309,8.96
Stalden (VS),VS,1052,10.60
Staldenried,VS,537,14.23
Stallikon,ZH,3783,12.02
Stammheim,ZH,2859,23.93
Stans,NW,8171,11.08
Stansstad,NW,4727,9.10
Starrkirch-Wil,SO,1753,1.84
Staufen,AG,4068,3.53
Steckborn,TG,3840,8.77
Steffisburg,BE,15991,14.81
Steg-Hohtenn,VS,1620,14.03
Stein (AG),AG,3253,2.81
Stein (AR),AR,1388,9.33
Stein am Rhein,SH,3561,5.82
Steinach,SG,3549,4.50
Steinen,SZ,3624,11.83
Steinerberg,SZ,953,6.96
Steinhausen,ZG,10198,5.04
Steinmaur,ZH,3583,9.47
Stetten (AG),AG,2224,4.45
Stetten (SH),SH,1374,4.71
Stettfurt,TG,1216,6.31
Stettlen,BE,3162,3.49
Stocken-Höfen,BE,1041,14.24
Strengelbach,AG,4859,6.05
Studen (BE),BE,3372,2.76
Stüsslingen,SO,1221,8.39
Subingen,SO,3173,6.24
Suchy,VD,655,6.69
Sufers,GR,146,34.56
Suhr,AG,10724,10.61
Sulgen,TG,3957,9.06
Sullens,VD,1042,3.90
Sumiswald,BE,5044,59.38
Sumvitg,GR,1104,101.84
Surpierre,FR,1143,14.80
Sursee,LU,10361,5.85
Surses,GR,2377,323.75
Suscévaz,VD,204,4.15
Sutz-Lattrigen,BE,1399,3.56
Syens,VD,156,2.53
Tafers,FR,7643,41.35
Tägerig,AG,1470,3.28
Tägerwilen,TG,4921,11.57
Tamins,GR,1226,40.71
Tannay,VD,1641,1.78
Tartegnin,VD,238,1.09
Täsch,VS,1345,58.72
Täuffelen,BE,2971,4.34
Tavannes,BE,3485,14.80
Tecknau,BL,828,2.38
Tegerfelden,AG,1202,7.07
Tenero-Contra,TI,3201,3.70
Tenniken,BL,928,4.69
Tentlingen,FR,1348,3.66
Termen,VS,1021,18.65
Terre di Pedemonte,TI,2627,11.55
Teufen (AR),AR,6364,15.29
Teufenthal (AG),AG,1682,3.55
Teuffenthal (BE),BE,160,4.57
Tévenon,VD,894,14.31
Thal,SG,6722,9.64
Thalheim (AG),AG,820,9.89
Thalheim an der Thur,ZH,949,6.45
Thalwil,ZH,18278,5.51
Thayngen,SH,5608,19.96
Therwil,BL,9979,7.66
Thierachern,BE,2514,7.53
Thônex,GE,14573,3.84
Thörigen,BE,1156,4.56
Thun,BE,43476,21.56
Thundorf,TG,1513,15.60
Thunstetten,BE,3458,9.68
Thurnen,BE,2035,5.95
Thürnen,BL,1376,2.29
Thusis,GR,3322,16.77
Titterten,BL,419,3.68
Tobel-Tägerschen,TG,1589,7.11
Toffen,BE,2547,4.86
Tolochenaz,VD,1892,1.58
Törbel,VS,498,17.57
Torny,FR,988,10.23
Torricella-Taverne,TI,3072,5.29
Trachselwald,BE,954,15.99
Tramelan,BE,4607,24.79
Trasadingen,SH,613,4.12
Treiten,BE,429,4.71
Trélex,VD,1449,5.85
Tresa,TI,3158,11.04
Trey,VD,302,3.77
Treycovagnes,VD,485,2.07
Treytorrens (Payerne),VD,114,3.11
Treyvaux,FR,1466,11.38
Triengen,LU,4616,22.08
Trient,VS,163,39.60
Trimbach,SO,6562,7.64
Trimmis,GR,3322,42.88
Trin,GR,1479,47.24
Trogen,AR,1822,10.02
Troinex,GE,2551,3.45
Troistorrents,VS,4806,36.92
Trub,BE,1314,62.01
Trubschachen,BE,1465,15.69
Trüllikon,ZH,1055,9.56
Trun,GR,1161,51.88
Truttikon,ZH,449,4.40
Tschappina,GR,134,24.67
Tschiertschen-Praden,GR,300,27.80
Tschugg,BE,470,3.31
Tübach,SG,1494,1.98
Tuggen,SZ,3317,13.54
Tujetsch,GR,1183,133.92
Turbenthal,ZH,4983,25.26
Turgi,AG,2963,1.52
Turtmann-Unterems,VS,1094,42.48
Twann-Tüscherz,BE,1171,12.31
Udligenswil,LU,2371,6.24
Ueberstorf,FR,2382,16.12
Uebeschi,BE,718,4.42
Ueken,AG,909,5.11
Uerkheim,AG,1342,7.11
Uesslingen-Buch,TG,1096,14.01
Uetendorf,BE,5830,10.17
Uetikon am See,ZH,6225,3.51
Uezwil,AG,504,2.47
Ufhusen,LU,927,12.19
Uitikon,ZH,4809,4.39
Ulmiz,FR,432,2.87
Unterägeri,ZG,8972,25.65
Unterbäch,VS,444,22.13
Untereggen,SG,1034,7.07
Unterengstringen,ZH,3984,3.36
Unterentfelden,AG,4382,2.88
Unteriberg,SZ,2414,46.49
Unterkulm,AG,3343,8.90
Unterlangenegg,BE,1018,6.82
Unterlunkhofen,AG,1499,4.48
Unterramsern,SO,219,1.54
Unterschächen,UR,695,80.22
Unterseen,BE,5760,13.97
Untersiggenthal,AG,7229,8.27
Untervaz,GR,2527,27.69
Urdorf,ZH,10019,7.58
Urmein,GR,150,4.34
Urnäsch,AR,2263,48.13
Ursenbach,BE,881,9.16
Ursins,VD,239,3.38
Ursy,FR,3299,14.84
Urtenen-Schönbühl,BE,6367,7.16
Uster,ZH,35337,28.49
Uttigen,BE,2153,3.78
Uttwil,TG,1923,4.37
Utzenstorf,BE,4430,17.00
Uznach,SG,6519,7.57
Uzwil,SG,13284,14.50
Vacallo,TI,3363,1.64
Val de Bagnes,VS,10329,301.91
Val Mara,TI,2982,11.15
Val Müstair,GR,1423,198.60
Val Terbi,JU,3190,46.73
Val-d'Illiez,VS,2074,39.25
Val-de-Charmey,FR,2548,112.09
Val-de-Ruz,NE,17143,124.38
Val-de-Travers,NE,10579,124.61
Valbirse,BE,3971,18.73
Valbroye,VD,3365,33.52
Valeyres-sous-Montagny,VD,713,2.25
Valeyres-sous-Rances,VD,610,6.36
Valeyres-sous-Ursins,VD,241,2.85
Vallon,FR,464,3.50
Vallorbe,VD,3863,23.16
Vals,GR,946,175.50
Valsot,GR,826,159.10
Vandoeuvres,GE,2754,4.43
Varen,VS,682,12.77
Vaulion,VD,505,13.18
Vaulruz,FR,1085,10.05
Vaux-sur-Morges,VD,194,2.10
Vaz/Obervaz,GR,2802,42.50
Vechigen,BE,5512,24.87
Veltheim (AG),AG,1526,5.20
Vendlincourt,JU,560,9.15
Vernate,TI,599,1.52
Vernayaz,VS,1847,5.64
Vernier,GE,34898,7.68
Vérossaz,VS,774,14.35
Versoix,GE,13281,10.52
Verzasca,TI,799,216.84
Vétroz,VS,6397,10.43
Vevey,VD,19752,2.37
Vex,VS,1792,13.07
Veyrier,GE,11861,6.52
Veysonnaz,VS,588,1.17
Veytaux,VD,952,6.78
Vezia,TI,1879,1.38
Vich,VD,1155,1.52
Vico Morcote,TI,422,1.95
Villars-Epeney,VD,100,0.86
Villars-le-Comte,VD,120,4.18
Villars-le-Terroir,VD,1280,7.14
Villars-Sainte-Croix,VD,960,1.65
Villars-sous-Yens,VD,612,3.07
Villars-sur-Glâne,FR,12219,5.45
Villarsel-sur-Marly,FR,75,1.41
Villarzel,VD,477,7.69
Villaz,FR,2310,15.43
Villeneuve (VD),VD,5834,32.02
Villeret,BE,941,16.26
Villigen,AG,2120,11.21
Villmergen,AG,7668,11.98
Villnachern,AG,1654,5.68
Villorsonnens,FR,1483,15.51
Vilters-Wangs,SG,4886,32.72
Vinelz,BE,878,4.60
Vinzel,VD,385,1.09
Vionnaz,VS,2753,20.95
Visp,VS,8060,13.19
Visperterminen,VS,1328,51.60
Vitznau,LU,1426,8.93
Volken,ZH,383,3.28
Volketswil,ZH,18865,14.01
Vordemwald,AG,1992,10.12
Vorderthal,SZ,1014,27.95
Vouvry,VS,4243,33.47
Vuadens,FR,2472,10.44
Vuarrens,VD,1060,8.95
Vucherens,VD,618,3.27
Vufflens-la-Ville,VD,1351,5.40
Vufflens-le-Château,VD,872,2.15
Vugelles-La Mothe,VD,138,3.09
Vuisternens-devant-Romont,FR,2338,24.03
Vuiteboeuf,VD,588,5.09
Vulliens,VD,625,6.68
Vullierens,VD,542,6.82
Vully-les-Lacs,VD,3348,20.90
Wachseldorn,BE,229,3.54
Wädenswil,ZH,24832,35.64
Wagenhausen,TG,1770,11.82
Wahlen,BL,1500,5.42
Walchwil,ZG,3820,13.50
Wald (AR),AR,882,6.84
Wald (BE),BE,1160,13.30
Wald (ZH),ZH,10200,25.28
Waldenburg,BL,1133,8.27
Wäldi,TG,1055,12.19
Waldkirch,SG,3559,31.35
Waldstatt,AR,1803,6.69
Walenstadt,SG,5728,45.68
Walkringen,BE,1755,17.20
Wallbach,AG,1999,4.48
Wallisellen,ZH,17218,6.45
Walliswil bei Niederbipp,BE,227,1.47
Walliswil bei Wangen,BE,604,3.07
Walperswil,BE,1039,7.00
Waltenschwil,AG,3053,4.55
Walterswil (BE),BE,540,7.93
Walterswil (SO),SO,743,4.49
Walzenhausen,AR,2031,7.03
Wangen (SZ),SZ,5344,8.43
Wangen an der Aare,BE,2377,5.23
Wangen bei Olten,SO,5239,6.97
Wangen-Brüttisellen,ZH,8000,7.90
Wangenried,BE,407,2.89
Wängi,TG,4766,16.45
Wartau,SG,5296,41.75
Warth-Weiningen,TG,1365,8.22
Wassen,UR,412,96.91
Wasterkingen,ZH,568,3.94
Wattenwil,BE,3060,14.46
Wattwil,SG,8837,51.18
Wauwil,LU,2380,2.94
Weesen,SG,1753,5.42
Wegenstetten,AG,1040,7.06
Weggis,LU,4440,11.79
Weiach,ZH,1990,9.59
Weinfelden,TG,11629,15.50
Weiningen (ZH),ZH,4869,5.41
Weisslingen,ZH,3365,12.77
Welschenrohr-Gänsbrunnen,SO,1171,24.46
Wengi,BE,630,7.06
Wenslingen,BL,696,5.88
Werthenstein,LU,2125,15.74
Wettingen,AG,21099,10.64
Wettswil am Albis,ZH,5281,3.75
Wetzikon (ZH),ZH,25056,16.73
Wichtrach,BE,4377,11.61
Widen,AG,3845,2.60
Widnau,SG,9932,4.22
Wiedlisbach,BE,2382,7.50
Wiesendangen,ZH,6633,19.13
Wiggiswil,BE,103,1.46
Wigoltingen,TG,2558,17.18
Wikon,LU,1495,8.29
Wil (SG),SG,24132,20.82
Wil (ZH),ZH,1488,8.97
Wila,ZH,1998,9.23
Wilchingen,SH,1727,21.15
Wildberg,ZH,1009,10.51
Wilderswil,BE,2638,13.16
Wildhaus-Alt St. Johann,SG,2624,87.48
Wilen (TG),TG,2523,2.25
Wiler (Lötschen),VS,565,14.88
Wiler bei Utzenstorf,BE,995,3.78
Wileroltigen,BE,361,4.13
Wiliberg,AG,167,1.20
Willadingen,BE,199,2.20
Willisau,LU,8910,47.22
Wimmis,BE,2609,22.34
Windisch,AG,7733,4.91
Winkel,ZH,4648,8.09
Wintersingen,BL,638,6.98
Winterthur,ZH,114220,68.12
Winznau,SO,1968,3.97
Wisen (SO),SO,442,4.81
Wittenbach,SG,9747,12.20
Witterswil,SO,1450,2.64
Wittinsburg,BL,430,3.19
Wittnau,AG,1365,11.24
Wohlen,AG,16881,12.45
Wohlen bei Bern,BE,9240,36.25
Wohlenschwil,AG,1677,4.42
Wolfenschiessen,NW,2115,92.64
Wolfhalden,AR,1846,6.97
Wölflinswil,AG,1033,9.51
Wolfwil,SO,2363,6.88
Wolhusen,LU,4315,14.26
Wollerau,SZ,7385,6.37
Worb,BE,11621,21.06
Worben,BE,2404,2.70
Wünnewil-Flamatt,FR,5559,13.26
Wuppenau,TG,1135,12.07
Würenlingen,AG,4838,9.39
Würenlos,AG,6511,9.00
Wynau,BE,1624,5.12
Wynigen,BE,2077,28.29
Wyssachen,BE,1103,11.73
Yens,VD,1479,9.53
Yverdon-les-Bains,VD,29955,13.52
Yvonand,VD,3470,13.30
Yvorne,VD,1070,12.18
Zäziwil,BE,1601,5.42
Zeglingen,BL,494,7.91
Zeihen,AG,1170,6.89
Zeiningen,AG,2400,11.35
Zell (LU),LU,2108,13.89
Zell (ZH),ZH,6430,12.98
Zeneggen,VS,295,7.56
Zermatt,VS,5820,242.93
Zernez,GR,1506,344.02
Zetzwil,AG,1363,5.77
Ziefen,BL,1637,7.82
Zielebach,BE,330,1.91
Zihlschlacht-Sitterdorf,TG,2483,12.17
Zillis-Reischen,GR,389,24.46
Zizers,GR,3520,10.96
Zofingen,AG,12104,11.07
Zollikofen,BE,10640,5.42
Zollikon,ZH,13311,7.85
Zuchwil,SO,9058,4.66
Zufikon,AG,4548,4.81
Zug,ZG,30934,21.72
Zullwil,SO,657,3.65
Zumikon,ZH,5587,5.47
Zunzgen,BL,2616,6.86
Zuoz,GR,1199,65.63
Zürich,ZH,421878,87.91
Zurzach,AG,8476,25.99
Zuzgen,AG,881,8.35
Zuzwil (BE),BE,563,3.46
Zuzwil (SG),SG,4786,8.97
Zweisimmen,BE,3032,73.14
Zwieselberg,BE,322,2.43
Zwingen,BL,2514,4.60
Zwischbergen,VS,71,85.94
